time,open,high,low,close,EMA Small,EMA Big
2024-07-24T21:00:00Z,66052,66068,65148,65640,66064.56544261714,66139.75171982276
2024-07-24T22:00:00Z,65660,65665,65247,65293,65945.86306682989,66062.77429074796
2024-07-24T23:00:00Z,65297,65450,65117,65376,65858.19182577914,66000.34026431633
2024-07-25T00:00:00Z,65363,65607,65269,65508,65804.31616027465,65955.58205846939
2024-07-25T01:00:00Z,65507,65507,64221,64444,65595.03675100164,65818.16550769944
2024-07-25T02:00:00Z,64467,64467,63947,64186,65378.261866232155,65669.7868251813
2024-07-25T03:00:00Z,64181,64274,63860,64075,65177.76004065798,65524.80620471028
2024-07-25T04:00:00Z,64080,64267,63806,64205,65028.10464978752,65404.82382246389
2024-07-25T05:00:00Z,64200,64313,64083,64254,64909.01162674329,65300.20347496717
2024-07-25T06:00:00Z,64253,64344,64077,64310,64816.85599185971,65210.18497724288
2024-07-25T07:00:00Z,64309,64375,64071,64112,64708.41660849668,65110.349979311715
2024-07-25T08:00:00Z,64112,64382,63882,64326,64649.583284112574,65039.04543573792
2024-07-25T09:00:00Z,64328,64452,64198,64288,64593.955086556794,64970.76857794356
2024-07-25T10:00:00Z,64293,64293,63960,64136,64523.50045785575,64894.88052540324
2024-07-25T11:00:00Z,64159,64268,64070,64093,64457.26961818564,64821.98229582113
2024-07-25T12:00:00Z,64090,64385,63905,64083,64399.68967692631,64754.80208711012
2024-07-25T13:00:00Z,64104,64340,63732,64014,64340.35280355303,64687.45644282738
2024-07-25T14:00:00Z,64020,64825,63424,64801,64411.221603006416,64697.77858438853
2024-07-25T15:00:00Z,64822,65001,64521,64763,64465.34135639005,64703.70780398957
2024-07-25T16:00:00Z,64776,65153,64615,64844,64523.59653233004,64716.46163999052
2024-07-25T17:00:00Z,64847,65053,64746,65030,64601.50475812542,64744.96512726411
2024-07-25T18:00:00Z,65023,65160,64377,64549,64593.4271030292,64727.15011569465
2024-07-25T19:00:00Z,64549,64980,64390,64662,64603.97677948625,64721.22737790422
2024-07-25T20:00:00Z,64674,65277,64414,65271,64706.595736488365,64771.20670718566
2024-07-25T21:00:00Z,65282,65983,65204,65830,64879.427161644,64867.460642896054
2024-07-25T22:00:00Z,65823,66135,65631,65639,64996.28452139108,64937.60058445096
2024-07-25T23:00:00Z,65632,65808,65616,65796,65119.31767194629,65015.636894955416
2024-07-26T00:00:00Z,65794,66453,65712,66383,65313.73033780071,65139.94263177765
2024-07-26T01:00:00Z,66378,66541,66218,66421,65484.07951660061,65256.40239252514
2024-07-26T02:00:00Z,66431,67338,66391,66970,65712.68266789282,65412.18399320467
2024-07-26T03:00:00Z,67001,67459,66929,67043,65917.34687283238,65560.43999382242
2024-07-26T04:00:00Z,67065,67091,66896,67072,66094.98581547356,65697.85453983856
2024-07-26T05:00:00Z,67071,67097,66859,66914,66220.98799770839,65808.41321803506
2024-07-26T06:00:00Z,66919,67157,66886,67052,66348.83599806095,65921.46656185006
2024-07-26T07:00:00Z,67055,67184,66888,66910,66435.1689214362,66011.33323804551
2024-07-26T08:00:00Z,66901,67137,66901,67101,66537.60447198448,66110.39385276864
2024-07-26T09:00:00Z,67100,67481,67086,67301,66655.04993783303,66218.63077524422
2024-07-26T10:00:00Z,67292,67403,67161,67308,66755.50379355102,66317.66434113111
2024-07-26T11:00:00Z,67298,67362,67152,67299,66839.11859454316,66406.87667375556
2024-07-26T12:00:00Z,67341,67393,67081,67311,66911.71573384422,66489.06970341415
2024-07-26T13:00:00Z,67333,67963,67168,67886,67061.6056209451,66616.06336674014
2024-07-26T14:00:00Z,67870,67991,66911,67337,67103.97398695356,66681.60306067286
2024-07-26T15:00:00Z,67339,67743,67299,67564,67174.74721972994,66761.82096424805
2024-07-26T16:00:00Z,67563,67691,67370,67401,67209.55533977148,66819.92814931642
2024-07-26T17:00:00Z,67404,67604,67315,67375,67235.00836442203,66870.38922665128
2024-07-26T18:00:00Z,67374,67620,67338,67577,67287.62246220326,66934.62656968298
2024-07-26T19:00:00Z,67574,68147,67547,68013,67399.21900647969,67032.66051789362
2024-07-26T20:00:00Z,68003,68025,67428,67463,67409.03146702127,67071.78228899419
2024-07-26T21:00:00Z,67448,68214,67448,67959,67493.64201055646,67152.43844454017
2024-07-26T22:00:00Z,67960,68085,67866,67938,67562.00477816316,67223.85313140014
2024-07-26T23:00:00Z,67943,67989,67857,67921,67617.2348122919,67287.23011945467
2024-07-27T00:00:00Z,67952,67962,67816,67884,67658.27561040084,67341.48192677698
2024-07-27T01:00:00Z,67886,67893,67654,67674,67660.69474726226,67371.71084252452
2024-07-27T02:00:00Z,67670,68061,67666,68034,67718.12632460652,67431.91894774957
2024-07-27T03:00:00Z,68033,68069,67785,67810,67732.26073620551,67466.2899524996
2024-07-27T04:00:00Z,67803,67905,67795,67870,67753.4513921739,67502.99086590872
2024-07-27T05:00:00Z,67870,68004,67870,67908,67777.22810107023,67539.80987809884
2024-07-27T06:00:00Z,67900,68093,67900,68093,67825.80839321327,67590.09988918075
2024-07-27T07:00:00Z,68093,68298,68053,68060,67861.83787118045,67632.81808107342
2024-07-27T08:00:00Z,68054,68190,67907,68000,67883.09358330655,67666.19825552129
2024-07-27T09:00:00Z,67999,68224,67951,68224,67935.5407243363,67716.90750501935
2024-07-27T10:00:00Z,68224,68265,68091,68170,67971.61138213072,67758.09773183578
2024-07-27T11:00:00Z,68176,68233,68044,68233,68011.82501564907,67801.27066530524
2024-07-27T12:00:00Z,68233,68479,68228,68420,68074.62116708768,67857.51878664113
2024-07-27T13:00:00Z,68423,69372,68422,69241,68254.06406445881,67983.28980603738
2024-07-27T14:00:00Z,69241,69404,68808,68985,68366.51574684976,68074.35436912489
2024-07-27T15:00:00Z,68991,69081,68612,68864,68443.05178579595,68146.14033556808
2024-07-27T16:00:00Z,68862,68990,68660,68700,68482.58228028889,68196.4912141528
2024-07-27T17:00:00Z,68691,68770,68441,68554,68493.56962178291,68228.99201286619
2024-07-27T18:00:00Z,68555,69012,68536,68629,68514.40506458555,68265.3563753329
2024-07-27T19:00:00Z,68539,68665,67792,68281,68478.49659311085,68266.77852302992
2024-07-27T20:00:00Z,68266,68437,66637,67758,68367.65096340148,68220.5259300272
2024-07-27T21:00:00Z,67724,69114,67598,68855,68442.62773826279,68278.20539093381
2024-07-27T22:00:00Z,68825,68842,68571,68623,68470.3773169916,68309.55035539437
2024-07-27T23:00:00Z,68623,68623,67798,67892,68381.39619130058,68271.5912321767
2024-07-28T00:00:00Z,67837,68089,67269,67960,68316.56600802357,68243.26475652427
2024-07-28T01:00:00Z,67954,68286,67916,68092,68282.01739140456,68229.51341502205
2024-07-28T02:00:00Z,68086,68161,67962,68149,68261.55317734231,68222.19401365641
2024-07-28T03:00:00Z,68141,68147,67937,67937,68211.62191928965,68196.2672851422
2024-07-28T04:00:00Z,67943,68034,67340,67340,68077.52623939894,68118.42480467472
2024-07-28T05:00:00Z,67335,67500,67064,67423,67976.82989487602,68055.20436788611
