time,open,high,low,close
2020-01-01T00:00:00Z,7165.72,7165.72,7136.05,7150.35
2020-01-01T01:00:00Z,7149.26,7204.94,7147.18,7194.52
2020-01-01T02:00:00Z,7194.52,7218.42,7191.44,7217
2020-01-01T03:00:00Z,7217,7217,7193.34,7196.98
2020-01-01T04:00:00Z,7196.99,7200.62,7183.85,7186.41
2020-01-01T05:00:00Z,7186.4,7199,7183.85,7197.31
2020-01-01T06:00:00Z,7197.31,7207.87,7197.31,7201.46
2020-01-01T07:00:00Z,7201.3,7209.15,7175,7185.91
2020-01-01T08:00:00Z,7185.9,7185.91,7158.19,7181.99
2020-01-01T09:00:00Z,7181.99,7189.53,7170.01,7170.01
2020-01-01T10:00:00Z,7170.01,7187.55,7170.01,7182.33
2020-01-01T11:00:00Z,7182.33,7215,7168.45,7174.26
2020-01-01T12:00:00Z,7174.27,7206.82,7174.27,7206.82
2020-01-01T13:00:00Z,7206.82,7210.84,7197.93,7200.4
2020-01-01T14:00:00Z,7200.01,7215,7188.91,7199.03
2020-01-01T15:00:00Z,7199.03,7238.14,7196.43,7214.31
2020-01-01T16:00:00Z,7213.34,7225,7195.02,7223.86
2020-01-01T17:00:00Z,7224.99,7231.27,7204.96,7218.01
2020-01-01T18:00:00Z,7218,7229.37,7205.69,7218.3
2020-01-01T19:00:00Z,7218.3,7218.31,7199.61,7207.07
2020-01-01T20:00:00Z,7207.06,7221.92,7200,7215.85
2020-01-01T21:00:00Z,7215.85,7222.6,7204.53,7216.34
2020-01-01T22:00:00Z,7216.2,7217,7163.91,7177.01
2020-01-01T23:00:00Z,7177.01,7177.58,7150,7174.33
2020-01-02T00:00:00Z,7174.33,7186.18,7160,7181.99
2020-01-02T01:00:00Z,7181.99,7182,7157.15,7165.75
2020-01-02T02:00:00Z,7165.74,7165.74,7125,7141.11
2020-01-02T03:00:00Z,7141.11,7141.11,7096.61,7098.88
2020-01-02T04:00:00Z,7098.87,7129.77,7089,7110.98
2020-01-02T05:00:00Z,7112.11,7123.71,7101.48,7108.03
2020-01-02T06:00:00Z,7108.04,7119.97,7091.1,7104.32
2020-01-02T07:00:00Z,7103.45,7109.32,7074.09,7077.45
2020-01-02T08:00:00Z,7075.04,7122.5,7075,7122.05
2020-01-02T09:00:00Z,7122.49,7132.48,7108.52,7132.48
2020-01-02T10:00:00Z,7132.48,7156.65,7132.28,7136.88
2020-01-02T11:00:00Z,7136.88,7141.68,7120,7120
2020-01-02T12:00:00Z,7117.78,7140.81,7117.78,7132.72
2020-01-02T13:00:00Z,7132.72,7139.97,7081.03,7107.87
2020-01-02T14:00:00Z,7107.85,7137.23,7099.03,7114.12
2020-01-02T15:00:00Z,7114.12,7130,7095.5,7111.72
2020-01-02T16:00:00Z,7111.69,7125,7011.3,7027.01
2020-01-02T17:00:00Z,7027.01,7027.01,6903,6942.4
2020-01-02T18:00:00Z,6942.4,6968.22,6927.13,6955.01
2020-01-02T19:00:00Z,6955.01,6976.17,6937.82,6965
2020-01-02T20:00:00Z,6965,6965.01,6924.75,6927.24
2020-01-02T21:00:00Z,6927.24,6967.14,6926.16,6957.97
2020-01-02T22:00:00Z,6957.98,6958,6943.33,6955.62
2020-01-02T23:00:00Z,6955.62,6957,6936.69,6945.02
2020-01-03T00:00:00Z,6945.02,6945.03,6903.09,6919.01
2020-01-03T01:00:00Z,6919.01,6927.58,6864,6869.45
2020-01-03T02:00:00Z,6869.45,6945.4,6854.67,6938.93
2020-01-03T03:00:00Z,6938.93,6947.64,6925.61,6937.61
2020-01-03T04:00:00Z,6937.61,7281.24,6937.61,7194.79
2020-01-03T05:00:00Z,7194.79,7235.94,7151.79,7203.04
2020-01-03T06:00:00Z,7203.04,7209.94,7181.35,7193.14
2020-01-03T07:00:00Z,7193.14,7220,7176.07,7184.66
2020-01-03T08:00:00Z,7186.59,7287.52,7186.59,7255.9
2020-01-03T09:00:00Z,7255.86,7347.36,7252.56,7337.53
2020-01-03T10:00:00Z,7337.67,7361.7,7276.77,7301.15
2020-01-03T11:00:00Z,7301.15,7333.77,7296.09,7327.64
2020-01-03T12:00:00Z,7327.64,7339.31,7296.05,7316.31
2020-01-03T13:00:00Z,7316.3,7369.61,7306.5,7342.88
2020-01-03T14:00:00Z,7342.19,7347.29,7227.78,7245
2020-01-03T15:00:00Z,7245,7319.83,7245,7313.23
2020-01-03T16:00:00Z,7315.02,7401.2,7291.42,7386.74
2020-01-03T17:00:00Z,7386.74,7400,7330,7353.04
2020-01-03T18:00:00Z,7353.04,7363.28,7330,7334.38
2020-01-03T19:00:00Z,7334.39,7341.53,7276.14,7330.91
2020-01-03T20:00:00Z,7330.9,7349.44,7293.7,7308.25
2020-01-03T21:00:00Z,7308.25,7326.85,7259,7269.3
2020-01-03T22:00:00Z,7269.3,7309.75,7250,7294.72
2020-01-03T23:00:00Z,7293.9,7334.45,7288.99,7334.45
2020-01-04T00:00:00Z,7334.45,7339.99,7284.15,7302.44
2020-01-04T01:00:00Z,7302.43,7304.55,7277.34,7303.07
2020-01-04T02:00:00Z,7303.07,7320.98,7290.09,7320.68
2020-01-04T03:00:00Z,7320.68,7332.89,7311.29,7323.57
2020-01-04T04:00:00Z,7323.6,7330,7302.78,7326.97
2020-01-04T05:00:00Z,7326.86,7359.99,7320,7333.94
2020-01-04T06:00:00Z,7333.95,7354.72,7330.57,7349.54
2020-01-04T07:00:00Z,7349.54,7354.98,7322.27,7343.16
2020-01-04T08:00:00Z,7343.16,7352.04,7327.16,7339.13
2020-01-04T09:00:00Z,7339.13,7355.23,7332.14,7351.67
2020-01-04T10:00:00Z,7351.67,7357.39,7296.81,7304.74
2020-01-04T11:00:00Z,7304.11,7328.74,7292.02,7326.61
2020-01-04T12:00:00Z,7326.61,7328.18,7295,7299.94
2020-01-04T13:00:00Z,7299.95,7312.54,7280.5,7287.85
2020-01-04T14:00:00Z,7287.83,7310.75,7281.9,7304.85
2020-01-04T15:00:00Z,7304.86,7317.58,7293.6,7306.11
2020-01-04T16:00:00Z,7306.12,7313.79,7285.02,7297.65
2020-01-04T17:00:00Z,7297.64,7339.31,7295.75,7339.3
2020-01-04T18:00:00Z,7339.31,7398,7263.32,7291.42
2020-01-04T19:00:00Z,7291.41,7342.75,7275.01,7322.54
2020-01-04T20:00:00Z,7324.2,7339.78,7304.43,7333.01
2020-01-04T21:00:00Z,7333.01,7358.51,7322.23,7344.84
2020-01-04T22:00:00Z,7343.98,7354.23,7334.09,7346.37
2020-01-04T23:00:00Z,7346.38,7350,7326.69,7348.63
2020-01-05T00:00:00Z,7348.63,7384.37,7348.62,7368.94
2020-01-05T01:00:00Z,7368.75,7471.52,7368.75,7451.01
2020-01-05T02:00:00Z,7451,7483.28,7425,7438.05
2020-01-05T03:00:00Z,7438.75,7474,7438.08,7471.82
2020-01-05T04:00:00Z,7470.9,7488.87,7441.33,7447.56
2020-01-05T05:00:00Z,7447.56,7459.65,7440.65,7454.73
2020-01-05T06:00:00Z,7454.8,7478.24,7442.06,7461.65
2020-01-05T07:00:00Z,7461.65,7473.78,7446.57,7468.22
2020-01-05T08:00:00Z,7468.28,7475,7413.91,7426.38
2020-01-05T09:00:00Z,7426.41,7435,7396.36,7425.11
2020-01-05T10:00:00Z,7425.1,7431.33,7404.95,7413.9
2020-01-05T11:00:00Z,7413.89,7441.25,7409.46,7423.92
2020-01-05T12:00:00Z,7423.85,7457.32,7423.42,7457.32
2020-01-05T13:00:00Z,7457.32,7460.03,7411.11,7430.68
2020-01-05T14:00:00Z,7431.11,7442.92,7425.35,7431.21
2020-01-05T15:00:00Z,7430.77,7472.51,7428.09,7459.97
2020-01-05T16:00:00Z,7459.97,7479.52,7450,7455.99
2020-01-05T17:00:00Z,7457.1,7464.12,7444.33,7461.16
2020-01-05T18:00:00Z,7461.17,7463,7419.2,7432.09
2020-01-05T19:00:00Z,7432.08,7443.86,7422.94,7439.16
2020-01-05T20:00:00Z,7439.15,7439.15,7422.41,7428.7
2020-01-05T21:00:00Z,7428.71,7430.08,7356.82,7356.82
2020-01-05T22:00:00Z,7355.79,7375,7316,7348.07
2020-01-05T23:00:00Z,7348.06,7357.04,7312.22,7355.4
2020-01-06T00:00:00Z,7355.4,7377.45,7343.17,7372.97
2020-01-06T01:00:00Z,7372.93,7416.17,7361.64,7416.1
2020-01-06T02:00:00Z,7416.09,7562.82,7412.88,7547.86
2020-01-06T03:00:00Z,7547.86,7580,7478.33,7540.16
2020-01-06T04:00:00Z,7538.99,7550,7516.07,7527.87
2020-01-06T05:00:00Z,7527.84,7535,7498.6,7528.7
2020-01-06T06:00:00Z,7528.76,7528.79,7507.37,7509.77
2020-01-06T07:00:00Z,7510.83,7520.9,7503.56,7503.56
2020-01-06T08:00:00Z,7503.56,7545,7503.55,7542.19
2020-01-06T09:00:00Z,7543.42,7545,7506.8,7541.44
2020-01-06T10:00:00Z,7543.25,7567.5,7528.89,7553.33
2020-01-06T11:00:00Z,7553.33,7572.2,7520.04,7536.29
2020-01-06T12:00:00Z,7536.29,7558.01,7529.86,7554.33
2020-01-06T13:00:00Z,7554.34,7615.68,7484.65,7522.17
2020-01-06T14:00:00Z,7522.19,7549.99,7499.99,7541.83
2020-01-06T15:00:00Z,7541.82,7546.11,7510.8,7516.84
2020-01-06T16:00:00Z,7515.91,7540.63,7505.89,7523.46
2020-01-06T17:00:00Z,7521.04,7554.86,7518.87,7552.76
2020-01-06T18:00:00Z,7552.77,7553,7523.15,7527.07
2020-01-06T19:00:00Z,7526.6,7544.42,7516.88,7536.6
2020-01-06T20:00:00Z,7536.6,7549.99,7531.94,7544.98
2020-01-06T21:00:00Z,7544.98,7606.8,7544.98,7576.79
2020-01-06T22:00:00Z,7576.79,7758,7575.65,7711.03
2020-01-06T23:00:00Z,7716.54,7805,7700.06,7764.63
2020-01-07T00:00:00Z,7764.63,8000,7764.63,7889.99
2020-01-07T01:00:00Z,7890,7932.56,7865.62,7906.52
2020-01-07T02:00:00Z,7907.47,7940.23,7897.09,7899.74
2020-01-07T03:00:00Z,7899.9,7918.29,7889.2,7897.83
2020-01-07T04:00:00Z,7897.83,7906,7820.91,7844.51
2020-01-07T05:00:00Z,7844.51,7882.83,7838.53,7877.17
2020-01-07T06:00:00Z,7877.17,7879.07,7862.3,7874.41
2020-01-07T07:00:00Z,7873.5,7892.2,7860.83,7878.65
2020-01-07T08:00:00Z,7878.65,7900,7869.73,7880.52
2020-01-07T09:00:00Z,7880.52,7880.52,7856.74,7856.75
2020-01-07T10:00:00Z,7856.75,7885.78,7856.75,7885.78
2020-01-07T11:00:00Z,7885.78,7966.16,7882.06,7893.61
2020-01-07T12:00:00Z,7893.15,7913.21,7847.11,7871.09
2020-01-07T13:00:00Z,7869.92,7869.93,7812.15,7847.78
2020-01-07T14:00:00Z,7847.78,7883.89,7839.44,7850
2020-01-07T15:00:00Z,7850,7851.4,7743.5,7766.06
2020-01-07T16:00:00Z,7766.06,7941.7,7723,7915
2020-01-07T17:00:00Z,7915.01,7956.82,7875.93,7942.58
2020-01-07T18:00:00Z,7942.58,8134.82,7923.09,8046.05
2020-01-07T19:00:00Z,8043.41,8119.7,8040.93,8081.67
2020-01-07T20:00:00Z,8081.66,8184.2,8051.24,8168.53
2020-01-07T21:00:00Z,8168.53,8195,8007.29,8022.11
2020-01-07T22:00:00Z,8022.1,8067.2,7965.01,8045
2020-01-07T23:00:00Z,8045,8216,8027,8158.52
2020-01-08T00:00:00Z,8160.01,8469.39,8157.71,8447.12
2020-01-08T01:00:00Z,8444.53,8467.83,8350,8377.06
2020-01-08T02:00:00Z,8377.65,8432.75,8251.76,8282.26
2020-01-08T03:00:00Z,8278.26,8339.95,8251.63,8303
2020-01-08T04:00:00Z,8302.99,8355,8282.82,8345.48
2020-01-08T05:00:00Z,8343.68,8377.56,8306.92,8335.09
2020-01-08T06:00:00Z,8334.47,8361.48,8320,8338.22
2020-01-08T07:00:00Z,8337.65,8342.95,8281.19,8300.13
2020-01-08T08:00:00Z,8299.01,8327.96,8268.1,8312.54
2020-01-08T09:00:00Z,8312.55,8318.38,8276.5,8295.45
2020-01-08T10:00:00Z,8297.91,8362.61,8288.19,8334.79
2020-01-08T11:00:00Z,8339.03,8374.88,8332.02,8334.8
2020-01-08T12:00:00Z,8337.41,8347.69,8276.16,8281.89
2020-01-08T13:00:00Z,8280.52,8416.2,8220.24,8384.48
2020-01-08T14:00:00Z,8384.48,8384.49,8202.57,8307.33
2020-01-08T15:00:00Z,8308.52,8357.69,8233,8301.04
2020-01-08T16:00:00Z,8302.17,8332.49,8060,8115
2020-01-08T17:00:00Z,8115,8123.24,8008.88,8080.18
2020-01-08T18:00:00Z,8076.79,8090.94,8030,8046.59
2020-01-08T19:00:00Z,8046.59,8060.87,7960,7961.19
2020-01-08T20:00:00Z,7961.19,8050,7845,8043.55
2020-01-08T21:00:00Z,8041.75,8041.75,7951.06,8001
2020-01-08T22:00:00Z,8003.92,8091.16,7975.8,8067.31
2020-01-08T23:00:00Z,8067.31,8112.93,8024.22,8045.51
2020-01-09T00:00:00Z,8047.75,8048.67,7927.27,7949.72
2020-01-09T01:00:00Z,7949.72,8029.34,7946.94,7993
2020-01-09T02:00:00Z,7995,8016.07,7974.63,7975
2020-01-09T03:00:00Z,7975.01,7986.55,7931.92,7948.25
2020-01-09T04:00:00Z,7948.26,7974.97,7927.29,7966.48
2020-01-09T05:00:00Z,7966.48,7966.49,7930,7939.85
2020-01-09T06:00:00Z,7939.85,7946.88,7902.24,7910.6
2020-01-09T07:00:00Z,7910.61,7966.99,7908.7,7946.77
2020-01-09T08:00:00Z,7946.02,7953.57,7917.29,7934.15
