time,open,high,low,close,EMA Small,EMA Big
2024-05-05T19:00:00Z,63948,64024,63863,63888,63967.75515762402,63827.66894809709
2024-05-05T20:00:00Z,63880,63880,63610,63747,63933.79282568186,63820.33540736099
2024-05-05T21:00:00Z,63736,63867,63624,63867,63923.51700634619,63824.57764305545
2024-05-05T22:00:00Z,63866,63890,63722,63863,63914.206697677546,63828.07058459586
2024-05-05T23:00:00Z,63867,64236,63844,64021,63930.63643649639,63845.60962235987
2024-05-06T00:00:00Z,64024,64344,64024,64225,63975.92313857387,63880.09965669079
2024-05-06T01:00:00Z,64230,64499,64105,64166,64005.16573263943,63906.09059699163
2024-05-06T02:00:00Z,64166,64237,63852,63852,63981.60177377182,63901.17326999239
2024-05-06T03:00:00Z,63852,63948,63745,63887,63967.047654730006,63899.88479090217
2024-05-06T04:00:00Z,63887,64182,63780,64159,63996.57878477154,63923.44071900198
2024-05-06T05:00:00Z,64163,64342,64041,64190,64026.33589480669,63947.67338091089
2024-05-06T06:00:00Z,64168,64446,64141,64243,64059.6688340672,63974.52125537354
2024-05-06T07:00:00Z,64242,64568,64182,64546,64134.489013441475,64026.4738685214
2024-05-06T08:00:00Z,64550,65513,64497,65156,64291.644549835095,64129.15806229218
2024-05-06T09:00:00Z,65149,65356,65107,65151,64423.8530806297,64222.052783901985
2024-05-06T10:00:00Z,65173,65276,63844,64033,64363.7218374559,64204.86616718362
2024-05-06T11:00:00Z,64042,64358,64020,64220,64341.61078553961,64206.24197016693
2024-05-06T12:00:00Z,64244,64313,63356,63556,64220.74758776429,64147.12906378812
2024-05-06T13:00:00Z,63578,63982,63452,63880,64168.324881954395,64122.844603443744
2024-05-06T14:00:00Z,63867,64221,63234,63285,64032.428746269106,64046.676912221585
2024-05-06T15:00:00Z,63320,63753,62931,63644,63972.67047761232,64010.069920201444
2024-05-06T16:00:00Z,63630,63755,63114,63205,63854.567327210425,63936.88174563768
2024-05-06T17:00:00Z,63192,63500,62976,63164,63748.32619994728,63866.61976876153
2024-05-06T18:00:00Z,63176,63527,62973,63400,63694.73755380155,63824.199789783204
2024-05-06T19:00:00Z,63391,63405,62720,63193,63617.547160909,63766.81799071201
2024-05-06T20:00:00Z,63218,63398,63039,63307,63569.77067461531,63725.01635519273
2024-05-06T21:00:00Z,63294,63610,63294,63540,63565.190570828345,63708.196686538846
2024-05-06T22:00:00Z,63525,63573,63416,63505,63555.9304830086,63689.72426048986
2024-05-06T23:00:00Z,63489,63500,63135,63164,63495.63348562266,63641.93114589987
2024-05-07T00:00:00Z,63159,63670,62962,63548,63503.68987244994,63633.39195081806
2024-05-07T01:00:00Z,63541,63951,63487,63891,63563.27604591918,63656.81086438006
2024-05-07T02:00:00Z,63874,63924,63622,63700,63584.31050039315,63660.73714943642
2024-05-07T03:00:00Z,63694,63710,62864,63243,63531.801192640356,63622.7610449422
2024-05-07T04:00:00Z,63242,63466,63105,63466,63521.677932234146,63608.51004085654
2024-05-07T05:00:00Z,63447,63715,63249,63510,63519.88132727505,63599.55458259686
2024-05-07T06:00:00Z,63559,63713,63409,63638,63538.05343077119,63603.049620542595
2024-05-07T07:00:00Z,63631,63894,63560,63686,63560.81444142178,63610.590564129634
2024-05-07T08:00:00Z,63673,64389,63610,64228,63663.45837351074,63666.7186946633
2024-05-07T09:00:00Z,64234,64367,64082,64129,63735.08016220139,63708.74426787573
2024-05-07T10:00:00Z,64126,64172,63775,64097,63790.76013724733,63744.04024352339
2024-05-07T11:00:00Z,64092,64130,63386,63496,63745.412423824666,63721.49113047581
2024-05-07T12:00:00Z,63497,63760,63482,63663,63732.7335893901,63716.173754978015
2024-05-07T13:00:00Z,63665,63722,63136,63207,63651.85149871471,63669.885231798195
2024-05-07T14:00:00Z,63207,64059,63090,64041,63711.720498912444,63703.622937998356
2024-05-07T15:00:00Z,64041,64309,63606,63726,63713.9173452336,63705.65721636214
2024-05-07T16:00:00Z,63738,63882,63500,63622,63699.776215197664,63698.05201487467
2024-05-07T17:00:00Z,63632,63648,63331,63383,63651.04141285956,63669.41092261334
2024-05-07T18:00:00Z,63384,63397,62818,63165,63576.26581088117,63623.55538419394
2024-05-07T19:00:00Z,63167,63257,62969,63067,63497.91722459176,63572.95944017631
2024-05-07T20:00:00Z,63043,63186,62895,62977,63417.7761131161,63518.78130925119
2024-05-07T21:00:00Z,62969,63156,62833,63073,63364.733634175165,63478.255735682906
2024-05-07T22:00:00Z,63069,63105,62756,62854,63286.159228917444,63421.50521425719
2024-05-07T23:00:00Z,62848,62874,62278,62320,63137.51934754553,63321.36837659744
2024-05-08T00:00:00Z,62310,62690,62151,62587,63052.82406330776,63254.607615088586
2024-05-08T01:00:00Z,62586,62690,62438,62508,62969.004976645025,63186.73419553508
2024-05-08T02:00:00Z,62515,62854,62515,62755,62936.08113408425,63147.48563230462
2024-05-08T03:00:00Z,62739,62953,62597,62882,62927.760959609746,63123.35057482238
2024-05-08T04:00:00Z,62889,62996,62383,62519,62864.874658131324,63068.40961347489
2024-05-08T05:00:00Z,62513,62732,62398,62611,62825.81701841881,63026.82692134081
2024-05-08T06:00:00Z,62605,62707,62136,62492,62774.46055404669,62978.20629212801
2024-05-08T07:00:00Z,62491,62560,62074,62210,62687.62046880874,62908.369356480005
2024-05-08T08:00:00Z,62198,62429,62054,62363,62637.67885822278,62858.79032407273
2024-05-08T09:00:00Z,62366,62410,62079,62294,62584.80518772697,62807.44574915703
2024-05-08T10:00:00Z,62294,62503,62252,62459,62565.45054346128,62775.76886287003
2024-05-08T11:00:00Z,62434,62502,62145,62220,62512.304306005695,62725.244420790936
2024-05-08T12:00:00Z,62231,62435,62084,62236,62469.79595123559,62680.767655264484
2024-05-08T13:00:00Z,62227,62410,61779,62410,62460.59657412242,62656.15241387681
2024-05-08T14:00:00Z,62416,62794,62160,62552,62474.658639642046,62646.68401261528
2024-05-08T15:00:00Z,62551,62596,61892,62259,62441.48038738943,62611.44001146844
2024-05-08T16:00:00Z,62257,62420,61996,62420,62438.17571240644,62594.03637406222
2024-05-08T17:00:00Z,62420,62659,62368,62584,62460.610218190064,62593.1239764202
2024-05-08T18:00:00Z,62578,62735,62439,62499,62466.516338468515,62584.56725129109
2024-05-08T19:00:00Z,62497,62528,61952,62154,62418.43690178105,62545.42477390099
