time,open,high,low,close
2023-01-01T00:00:00Z,16531.83,16534.66,16498.05,16519.81
2023-01-01T01:00:00Z,16519.84,16547.6,16517.01,16542.69
2023-01-01T02:00:00Z,16542.7,16550,16528.75,16538.6
2023-01-01T03:00:00Z,16538.32,16538.32,16510.09,16523.3
2023-01-01T04:00:00Z,16523.91,16525.75,16502.66,16511.71
2023-01-01T05:00:00Z,16511.69,16524.84,16503.19,16521.08
2023-01-01T06:00:00Z,16521.04,16540.57,16519.93,16532.17
2023-01-01T07:00:00Z,16531.82,16535.46,16490,16516.36
2023-01-01T08:00:00Z,16516.36,16523.98,16498.84,16504.22
2023-01-01T09:00:00Z,16504.14,16533.16,16496.99,16529.42
2023-01-01T10:00:00Z,16528.94,16538.71,16524.48,16538.07
2023-01-01T11:00:00Z,16538.31,16548.12,16532.53,16547.29
2023-01-01T12:00:00Z,16547.61,16563.97,16541.95,16554.56
2023-01-01T13:00:00Z,16554.24,16559.69,16529.75,16539.19
2023-01-01T14:00:00Z,16538.96,16550.76,16533.5,16534.84
2023-01-01T15:00:00Z,16534.12,16552.47,16524.77,16551.21
2023-01-01T16:00:00Z,16551.21,16573.07,16550.15,16556.14
2023-01-01T17:00:00Z,16556.33,16588.88,16554.6,16571.1
2023-01-01T18:00:00Z,16571.1,16595.62,16571.09,16583.74
2023-01-01T19:00:00Z,16583.7,16615.89,16583.69,16596.48
2023-01-01T20:00:00Z,16596.46,16621,16592.87,16599.24
2023-01-01T21:00:00Z,16598.77,16604.03,16587.05,16601.82
2023-01-01T22:00:00Z,16601.82,16608.33,16583.41,16597.28
2023-01-01T23:00:00Z,16596.96,16618.73,16595.6,16611.58
2023-01-02T00:00:00Z,16611.9,16622.77,16576.28,16582.36
2023-01-02T01:00:00Z,16582.36,16584.15,16542.52,16558.01
2023-01-02T02:00:00Z,16557.76,16586.2,16547.62,16580.5
2023-01-02T03:00:00Z,16580.11,16698.54,16576.26,16656.66
2023-01-02T04:00:00Z,16656.66,16668.06,16621.33,16633.4
2023-01-02T05:00:00Z,16633.36,16653.9,16612.03,16640.26
2023-01-02T06:00:00Z,16640.26,16654.38,16628.01,16633.59
2023-01-02T07:00:00Z,16633.21,16758,16630.33,16714.44
2023-01-02T08:00:00Z,16714.45,16761.92,16701.2,16726.62
2023-01-02T09:00:00Z,16726.93,16739.24,16705.3,16711.87
