time,open,high,low,close,EMA Small,EMA Big
2016-04-26T14:00:00Z,466.04,467,464.39,465.07,464.66540197478804,463.99155448389115
2016-04-26T15:00:00Z,465,469.27,465,466.17,464.89687859405143,464.1895949853556
2016-04-26T16:00:00Z,466.32,467.99,464.83,467.38,465.27889727188966,464.47963180486875
2016-04-26T17:00:00Z,467.38,467.38,465.78,466.13,465.4098361531374,464.6296652771534
2016-04-26T18:00:00Z,466.13,469.86,465.85,466.88,465.6360152065009,464.8342411610485
2016-04-26T19:00:00Z,466.89,469.87,466.56,469.31,466.20124363626996,465.2411283282259
2016-04-26T20:00:00Z,469.32,469.32,468.02,468.46,466.54874461530534,465.5337530256599
2016-04-26T21:00:00Z,468.76,469.47,466.6,466.61,466.558168520643,465.63159365969085
2016-04-26T22:00:00Z,468.01,468.43,466.7,467.71,466.73537336362097,465.82053969062804
2016-04-26T23:00:00Z,467.02,468.24,466.56,467.42,466.8407005384485,465.9659451732982
2016-04-27T00:00:00Z,467.39,469.03,415.01,466.61,466.805208147918,466.0244956120893
2016-04-27T01:00:00Z,466.61,467.54,414.02,466.26,466.72132997131524,466.0459051018994
2016-04-27T02:00:00Z,466.26,466.53,465.11,465.18,466.4842022834206,465.9671864562722
2016-04-27T03:00:00Z,466,468.07,413.75,413.75,458.3712480859713,461.220169505702
2016-04-27T04:00:00Z,465.95,466.79,412.98,465.65,459.4910560727449,461.62288136882
2016-04-27T05:00:00Z,466.07,467.31,413,467.28,460.68935513847646,462.13716488074544
2016-04-27T06:00:00Z,413,467.75,412.13,467,461.6602235787108,462.57924080067767
2016-04-27T07:00:00Z,467,467.64,412,467.34,462.53403533583224,463.01203709152514
2016-04-27T08:00:00Z,467.08,467.61,411.2,464.86,462.8918760533965,463.1800337195683
2016-04-27T09:00:00Z,464.41,464.91,410,464.9,463.2008181990278,463.33639429051664
2016-04-27T10:00:00Z,464.39,464.9,410.1,464.34,463.3760769376389,463.4276311731969
2016-04-27T11:00:00Z,411.37,465,411.37,464,463.47206510107907,463.4796647029063
2016-04-27T12:00:00Z,464,464.1,410.37,455.04,462.1748243162977,462.71242245718753
2016-04-27T13:00:00Z,454.51,456.5,452.55,454.11,460.93408211379034,461.93038405198865
2016-04-27T14:00:00Z,454.11,457.58,452.83,456.49,460.2503771732072,461.43580368362603
2016-04-27T15:00:00Z,456.61,457.92,453.76,457,459.75031914655995,461.0325488032964
2016-04-27T16:00:00Z,456.09,457.38,455.3,456.34,459.2256546624738,460.60595345754217
